Block,Trial,ProbeEnabled,ProbeAdopted,InterceptedResult,ReactionTime,MoveTime,XPosition,YPosition,ZPosition,StartX,StartY,StartZ,ProgramTime,MaxX,MinX,MaxY,MinY,MaxXPlusY,MinXPlusY,MaxXMinusY,MinXMinusY
0,0,True,False,1,0.3164737,0.4671909,-1,1,2,0.05527234,-0.09642364,2,4.446433,0.05477536,-1,0.8944868,-0.09571103,-0.02852106,-0.6182694,0.1490806,-1.894487
0,1,True,False,1,0.2986004,0.4146604,1,-1,2,-1,1,2,4.862106,1,-1,1,-1,0,-0.9032363,2,-2
0,2,True,False,1,0.2988886,0.4828324,1,1,2,1,-1,2,5.346251,1,1,0.8641149,-1,1.864115,0,2,0.1358851
0,3,True,False,1,0.1325241,0.4496096,-1,-1,2,1,1,2,5.796366,1,-1,1,-0.8963616,2,-1.896362,0.9294022,-0.7915254
1,0,True,False,1,0.1328989,0.3160039,1,1,2,-0.072024,-0.0449372,2,10.12881,1,-0.06944174,1,-0.04400665,2,-0.1111187,0.679673,-0.03032845
1,1,True,False,1,0.2325957,0.2992931,-1,1,2,1,1,2,10.42911,1,-0.9546143,1,0.6190967,2,0.04538572,0.3076603,-1.954614
1,2,True,False,1,0.3162313,0.4167796,-1,-1,2,-1,1,2,10.84589,-1,-1,1,-1,0,-2,0,-2
1,3,True,False,1,0.1835683,0.2666181,1,-1,2,-1,-1,2,11.1125,0.972247,-1,-1,-1,-0.027753,-2,1.972247,0
2,0,True,False,1,0.0668148,0.2497933,-1,1,2,-0.08354726,-0.07339337,2,15.3791,-0.1173113,-1,0.9088152,-0.06497,-0.09118479,-0.5056292,-0.05234128,-1.908815
2,1,True,False,1,0.2831494,0.4667102,1,-1,2,-1,1,2,15.84581,1,-1,1,-0.8562708,0.5345838,-0.3301297,1.856271,-2
2,2,True,False,1,0.3005039,0.3666142,1,1,2,1,-1,2,16.21242,1,1,1,-1,2,0,2,0
2,3,True,False,1,0.2506152,0.3832168,-1,-1,2,1,1,2,16.59564,1,-0.8893593,1,-1,2,-1.889359,0.6438799,-0.06543028
3,0,True,False,1,0.1500829,0.2668275,1,1,2,-0.01726668,-0.07935194,2,20.86229,1,-0.01442695,1,-0.07989273,2,-0.09386347,0.5665814,0
3,1,True,False,1,0.2997981,0.3645487,-1,1,2,1,1,2,21.22834,1,-0.8857154,1,1,2,0.1142846,0,-1.885715
3,2,True,False,1,0.2826356,0.3332136,-1,-1,2,-1,1,2,21.56305,-0.8772264,-1,1,-0.9271711,0.1227736,-1.927171,-0.07282889,-2
3,3,True,False,1,0.0325546,0.2494497,1,-1,2,-1,-1,2,21.8125,0.9981558,-0.9511491,-1,-1,-0.001844168,-1.951149,1.998156,0.04885089
4,0,True,False,1,0.1831984,0.3828056,1,1,2,-0.1046509,-0.1732382,2,26.19499,1,-0.1039431,0.8640388,-0.1734672,1.864039,-0.2772994,0.6410863,0.05750652
4,1,True,False,1,0.2991211,0.349375,-1,1,2,1,1,2,26.546,1,-0.9412658,1,0.9566378,2,0.05873418,0,-1.941266
4,2,True,False,1,0.2660562,0.3168362,-1,-1,2,-1,1,2,26.86284,-1,-1,1,-1,0,-2,0,-2
4,3,True,False,1,0.094896,0.2115278,1,-1,2,-1,-1,2,27.07893,1,-1,-1,-1,0,-2,2,0
5,0,True,False,1,0.3503131,0.4674643,-1,1,2,-0.03679193,-0.09112345,2,31.54642,-0.03693919,-0.8730942,1,-0.09692115,0.1493384,-0.3133068,0.05737443,-1.873094
5,1,True,False,1,0.2990625,0.4324892,1,-1,2,-1,1,2,31.97891,0.9368774,-1,1,-1,0.0753547,-1.014755,1.936877,-2
5,2,True,False,1,0.2667825,0.3174482,1,1,2,1,-1,2,32.29636,1,1,0.9938056,-1,1.993806,0,2,0.006194353
5,3,True,False,1,0.2500524,0.3995971,-1,-1,2,1,1,2,32.69596,1,-0.87229,1,-1,2,-1.87229,0.8256429,-0.3317119
6,0,True,False,1,0.20029,0.2834908,1,1,2,-0.05410116,-0.07345211,2,36.99553,1,-0.05395957,1,-0.07209648,2,-0.1257847,0.5732388,0
6,1,True,False,1,0.2504997,0.3002527,-1,1,2,1,1,2,37.29578,1,-0.9412355,1,1,2,0.05876446,0,-1.941236
6,2,True,False,1,0.250243,0.3172175,-1,-1,2,-1,1,2,37.613,-1,-1,1,-1,0,-2,0,-2
6,3,True,False,1,0.0332714,0.1826734,1,-1,2,-1,-1,2,37.79567,1,-1,-1,-1,0,-2,2,0
7,3,True,True,1,0.2503803,0.4335991,1,-1,2,-0.008189356,-0.09961303,2,42.22985,1,-0.01240426,0.06370258,-0.9126719,0.9298006,-0.1009908,1.912672,0.01318318
8,0,True,False,1,0.2498395,0.3989556,-1,1,2,-0.09310669,-0.09878921,2,46.62875,-0.09361656,-0.9863058,0.9245905,-0.09871402,-0.0617153,-0.3045422,0.005097464,-1.910896
8,1,True,False,1,0.2995096,0.4158371,1,-1,2,-1,1,2,47.04608,0.9052401,-1,1,-1,0.09365946,-1.104427,1.90524,-2
8,2,True,False,1,0.2669088,0.3163245,1,1,2,1,-1,2,47.3624,1,1,1,-1,2,0,2,0
8,3,True,False,1,0.2492392,0.3489689,-1,-1,2,1,1,2,47.71238,1,-0.8715009,1,-1,2,-1.871501,0.4541362,0
9,2,True,True,1,0.3667214,0.4334699,1,1,2,-0.04898861,-0.09193411,2,52.14631,1,-0.06169183,1,-0.1562001,2,-0.1866534,0.7308445,0
0,0,True,False,1,0.2664092,0.3504271,-1,1,2,-0.04801711,-0.1202842,2,4.366145,-0.02383534,-1,1,-0.1203729,0,-0.1678351,0.07692624,-2
0,1,True,False,1,0.2822191,0.3996529,1,-1,2,-1,1,2,4.765798,1,-1,1,-0.8709738,0.2664225,-0.9033816,1.870974,-2
0,2,True,False,1,0.2668285,0.3170079,1,1,2,1,-1,2,5.082806,1,1,0.9671469,-0.9804243,1.967147,0.01957572,1.980424,0.03285307
0,3,True,False,1,0.199648,0.2494308,-1,-1,2,1,1,2,5.332237,1,-1,1,-1,2,-2,0,-0.3145255
1,0,True,False,1,0.2499859,0.2997676,1,1,2,-0.02718835,-0.1037254,2,9.63192,1,-0.03512867,1,-0.1008703,2,-0.1287352,0.5822388,-0.01507089
1,1,True,False,1,0.2334284,0.2674414,-1,1,2,1,1,2,9.899362,1,-0.9038572,1,1,2,0.09614283,0,-1.903857
1,2,True,False,1,0.1669214,0.2661113,-1,-1,2,-1,1,2,10.16547,-0.7507024,-1,1,-1,0.2492976,-2,0,-2
1,3,True,False,1,0.0326596,0.1156618,1,-1,2,-1,-1,2,10.28214,0.9592847,-1,-1,-1,-0.04071528,-2,1.959285,0
2,3,True,True,0,0.1666559,0.517096,-1,-1,2,-0.07727791,-0.1262088,2,14.81595,-0.06608516,-1,1,-0.9518407,0.3752922,-1.951841,0.08218953,-2
3,0,True,False,1,0.0335769,0.0999727,1,1,2,0.01633545,-0.08895949,2,18.91575,1,0.05692765,0.9326588,-0.08566907,1.932659,-0.02874142,0.5860211,0.06734121
3,1,True,False,1,0.1164933,0.1497711,-1,1,2,1,1,2,19.06552,1,-1,1,1,2,0,0,-2
3,2,True,False,1,0.1161497,0.2326156,-1,-1,2,-1,1,2,19.29914,-0.6188555,-1,1,-1,0.03717172,-1.892219,0.1077811,-2
3,3,True,False,1,0.032149,0.0824766,1,-1,2,-1,-1,2,19.38263,0.9476131,-0.8996908,-1,-1,-0.05238688,-1.899691,1.947613,0.1003092
4,0,True,False,1,0.2662923,0.3161535,1,1,2,0.04128996,-0.03709449,2,23.69881,1,0.02778978,0.9479247,-0.2116565,1.947925,-0.1117653,0.9158846,0.05207533
4,1,True,False,1,0.0996632,0.148643,-1,1,2,1,1,2,23.84845,1,-1,1,1,2,0,0,-2
4,2,True,False,1,0.065416,0.5495887,-1,-1,2,-1,1,2,24.39954,1,-1,1,-1,0.6868451,-1.867134,2,-2
4,3,True,False,1,0.1663387,0.2161918,1,-1,2,-1,-1,2,24.61573,1,-1,-1,-1,0,-2,2,0
5,0,True,False,1,0.1675192,0.3503989,-1,1,2,0.1530784,-0.1090395,2,28.96583,0.3194709,-1,0.9598286,-0.1955824,0.1820133,-0.3281933,0.4773458,-1.959829
5,1,True,False,1,0.0657459,0.3662477,1,-1,2,-1,1,2,29.33308,1,-1,1,-1,0.508937,-1.218122,2,-2
5,2,True,False,1,0.24918,0.2987639,1,1,2,1,-1,2,29.63235,1,1,1,-1,2,0,2,0
5,3,True,False,1,0.116416,0.1821915,-1,-1,2,1,1,2,29.81554,1,-1,1,-0.9680911,2,-1.968091,0.01907931,-0.5514044
6,0,True,False,1,0.2994574,0.3838255,1,1,2,0.003703811,3.268525E-05,2,34.19981,1,-0.03595852,0.9744716,-0.1141227,1.974472,-0.0615636,0.5861719,-0.07829002
6,1,True,False,1,0.182395,0.2154063,-1,1,2,1,1,2,34.41621,1,-1,1,1,2,0,0,-2
6,2,True,False,1,0.0323069,0.2659413,-1,-1,2,-1,1,2,34.68215,-0.4777698,-1,1,-1,0,-2,0,-2
6,3,True,False,1,0.0666422,0.5322807,1,-1,2,-1,-1,2,35.21544,1,-1,-0.8715435,-1,0,-2,2,0
7,0,True,False,1,0.2507028,0.3011739,1,1,2,-0.02292247,-0.06623527,2,39.54929,1,-0.06962129,1,-0.05509082,2,-0.08265201,0.5765709,-0.06678808
7,1,True,False,1,0.115492,0.1324775,-1,1,2,1,1,2,39.68277,1,-0.978198,1,1,2,0.02180201,0,-1.978198
7,2,True,False,1,0.1001354,0.7166666,-1,-1,2,-1,1,2,40.39943,1,-1,1,-1,0.6331602,-1.932506,2,-2
7,3,True,False,1,0.1996417,0.3335887,1,-1,2,-1,-1,2,40.73302,1,-1,-1,-1,0,-2,2,0
8,0,True,False,1,0.049875,0.333702,-1,1,2,0.04160107,-0.2938925,2,45.06617,0.2817073,-1,0.9291686,-0.3825743,-0.002725258,-0.4016582,0.662878,-1.929169
8,1,True,False,1,0.0159702,0.2996052,1,-1,2,-1,1,2,45.36577,1,-0.9055865,1,-1,0.7094089,-1.17572,2,-1.81933
8,2,True,False,1,0.2323552,0.2663001,1,1,2,1,-1,2,45.6331,1,1,1,-1,2,0,2,0
8,3,True,False,1,0.0996926,0.1499958,-1,-1,2,1,1,2,45.7831,1,-0.9552222,1,-1,2,-1.873328,0.7548955,-0.03711611
9,0,True,False,1,0.1330999,0.3000192,-1,1,2,0.0951933,-0.2649001,2,50.0822,0.3178579,-1,0.9214907,-0.3256268,-0.0003238618,-0.5487951,0.6360397,-1.899109
9,1,True,False,1,0.0158121,0.2655394,1,-1,2,-1,1,2,50.34924,1,-0.9662085,1,-0.8920942,0.4438967,-0.7847968,1.892094,-1.890514
9,2,True,False,1,0.2488484,0.265425,1,1,2,1,-1,2,50.61568,1,1,0.9791165,-1,1.979116,0,2,0.0208835
9,3,True,False,1,0.116022,0.233016,-1,-1,2,1,1,2,50.84973,1,-1,1,-1,2,-1.96072,0.1580368,-0.628446
